task,l_target,depth,width,lr,params,train_loss,test_loss,test_acc,loss_5,loss_20,loss_50,loss_100
k4,3,8,8,0.01,1586,0.549891581773758,1.1526684646606444,0.238125,0.550371818780899,0.5504861917495728,0.550261207818985,0.5502690849304199
path,3,2,64,0.01,17026,0.23137336003780365,0.11448862469196319,0.998225,0.239019483089447,0.2341768137216568,0.23254788827896117,0.23198718285560607
indset4,3,8,32,0.001,23170,0.0,0.0,1.0,6.31361526393448e-06,5.833291711496713e-07,8.42212854195168e-08,5.614757039751339e-09
cycle,3,4,32,0.01,10626,0.1862473324537277,0.18567800438404083,0.983325,0.28275714111328126,0.2586985101699829,0.24292383337020873,0.22152588737010956
path,3,6,32,0.005,16962,0.0020032277226491716,0.03650663262605667,0.995475,0.24123041188716887,0.18545379245281218,0.023390674516558647,0.0033971410924568774
path,3,1,32,0.01,1282,0.24288452339172364,0.09183933252096176,0.998225,0.24677136981487274,0.24429621458053588,0.244977241396904,0.24423090207576753
cycle,3,3,32,0.005,7490,0.12155635726451874,0.28365900135040284,0.98415,0.28084620475769045,0.25748552691936494,0.22908941555023193,0.1952379355430603
cycle,3,5,16,0.001,3554,0.1985368854999542,0.10546729934215546,0.983975,0.37770357775688174,0.2739981021881103,0.25235247588157655,0.22565746235847473
indset4,3,7,64,0.001,78978,0.0,0.0,1.0,3.3549546196809387e-07,3.474949679116435e-08,5.614757064620335e-09,0.0
path,3,4,8,0.001,754,0.18842744374275208,0.11266173928976059,0.9984,0.47380049419403075,0.24791022634506227,0.23074672627449036,0.21916874527931213
indset4,3,5,16,0.01,3554,0.0,0.0,1.0,0.0,0.0,0.0,0.0
k4,3,2,8,0.001,338,0.5376380906105042,1.2177929391860962,0.238125,0.5495698390007019,0.5448011474609376,0.5422957453727723,0.5385678098201752
k4,3,2,16,0.01,1186,0.5363830893039704,1.1652250652313232,0.238125,0.5478743572235107,0.5394578537940979,0.5372008142471314,0.5374860339164734
cycle,3,8,32,0.01,23170,0.22299843716621398,0.18547983980178834,0.983325,0.3364467055797577,0.2666794466972351,0.23966533422470093,0.41401200222969053
path,3,8,8,0.01,1586,0.010667101569473744,0.2262147569656372,0.98265,0.25576024687290194,0.1134565715789795,0.03875192925333977,0.02840705955028534
k4,3,5,16,0.005,3586,0.4707323784828186,1.1667413425445556,0.24005,0.5457194290161133,0.52859153008461,0.516327612400055,0.5019058833122253
k4,3,3,32,0.001,7554,0.5166863679885865,1.1905391130447387,0.23865,0.5465962290763855,0.5422806363105774,0.5337818474769592,0.5207861113548279
indset4,3,6,8,0.01,1154,0.0,0.0,1.0,2.2459026467913644e-08,5.614757085936617e-09,0.0,0.0
indset4,3,2,16,0.005,1154,2.6941293789661815e-08,1.0967252119797877e-09,1.0,0.00021401679213158787,7.950343748234445e-06,1.1514403945511731e-06,2.2473281524071352e-07
indset4,3,4,32,0.001,10626,5.614756974026136e-09,2.7418134784795713e-10,1.0,0.002619613340124488,1.2631604322450586e-06,1.5354728088823321e-07,2.8073781365378637e-08
path,3,2,64,0.005,17026,0.2312877095937729,0.10590862941741944,0.998225,0.23645504188537597,0.2325572121143341,0.23281891226768495,0.23177043795585633
k4,3,8,8,0.005,1586,0.5076908459663391,1.2197045154571533,0.2385,0.550030867099762,0.5366597595214844,0.5219085817337036,0.5152752523422242
cycle,3,7,64,0.005,78978,0.04378006640076637,0.2514462356567383,0.981675,0.27974835634231565,0.2524847666025162,0.2240432788133621,0.1681427527666092
path,3,5,64,0.01,54274,0.03095400470495224,0.016670360889285803,0.99325,0.22644294238090515,0.05602668076753616,0.06364663320779801,0.04542988124489784
k4,3,8,32,0.001,23234,0.392759229183197,1.1708202466964721,0.24165,0.550798930644989,0.545706340789795,0.531177122592926,0.48897037148475647
path,3,7,16,0.001,5186,0.010692593201994897,0.010100090578198433,0.998725,0.4227597670555115,0.21194616281986237,0.13536737871170043,0.057513591796159745
path,3,1,32,0.005,1282,0.2431237859725952,0.08692590951919556,0.998225,0.2522631185054779,0.2453011360168457,0.2446704638004303,0.24473670613765716
cycle,3,3,32,0.01,7490,0.18325774252414703,0.12561406540870668,0.984275,0.2819458765983582,0.25810669565200806,0.2416102285385132,0.2277621876001358
cycle,3,3,8,0.001,530,0.261172473192215,0.10091837966442108,0.983625,0.3284121234416962,0.2752210590839386,0.27490190958976746,0.27060172033309937
cycle,3,2,16,0.001,1154,0.2664050930738449,0.10626898151636123,0.983325,0.32476614356040956,0.2781903467178345,0.27573035073280333,0.27338626289367673
cycle,3,4,32,0.005,10626,0.07738859832286835,0.15757851850986482,0.966125,0.27985733294487,0.25296977186203,0.22802555775642394,0.1624423362016678
path,3,6,32,0.01,16962,0.012926940213888884,0.23271810805797577,0.98265,0.24483856821060182,0.15440934205055237,0.03377129676938057,0.03911582852900028
indset4,3,2,64,0.01,16898,0.0,0.0,1.0,3.543494966606886e-08,5.6147570113296294e-09,0.0,0.0
